Investor_Id,first,IT,early,year
11274-85,1,0,1,1994
11275-75,0,1,1,1994
11277-37,1,0,1,1994
11278-45,0,0,0,1994
11279-71,1,1,0,1994
11281-06,0,1,0,1994
11281-24,1,1,0,1994
11291-32,1,0,1,1994
11293-30,1,0,1,1994
11295-73,0,1,1,1994
11295-91,1,1,1,1994
11302-84,1,0,1,1994
11303-56,0,0,1,1994
11304-28,0,0,0,1994
11308-51,0,0,1,1994
11308-69,1,1,1,1994
11312-29,1,0,1,1994
11317-42,1,0,1,1994
11318-77,0,1,0,1994
11322-28,0,0,1,1994
11324-26,0,1,0,1994
11325-43,0,0,1,1994
11326-33,1,0,1,1994
11326-69,0,0,1,1994
11327-32,1,0,1,1994
11328-13,1,1,0,1994
11328-49,1,1,1,1994
11330-02,0,1,0,1994
11331-91,1,0,1,1994
11335-42,0,1,0,1994
11336-05,1,0,1,1994
11337-76,0,0,0,1994
11339-74,1,1,1,1994
11605-96,0,0,0,1994
11852-02,1,0,1,1994
11867-23,0,1,0,1994
14146-57,1,0,1,1994
16436-44,1,0,0,1994
179240-41,0,0,1,1994
183990-70,1,1,0,1994
228542-59,1,0,1,1994
25121-17,1,0,0,1994
25383-79,1,1,0,1994
40668-76,0,0,1,1994
40849-84,1,0,1,1994
41001-49,0,1,0,1994
41016-79,0,0,1,1994
41699-53,1,0,1,1994
41762-98,0,0,0,1994
42202-18,1,1,1,1994
42365-62,0,0,0,1994
42739-75,0,0,0,1994
42871-51,0,1,0,1994
42909-13,0,0,0,1994
44459-02,1,0,1,1994
51050-17,1,1,1,1994
51077-44,1,0,1,1994
51090-58,0,1,0,1994
51106-87,1,0,1,1994
51106-96,0,0,1,1994
51131-71,1,1,0,1994
51216-04,0,1,1,1994
51516-10,0,0,1,1994
51669-64,1,0,1,1994
51702-67,1,0,1,1994
51747-13,0,0,1,1994
52116-76,1,0,1,1994
52166-62,1,0,1,1994
52225-66,0,0,0,1994
52244-38,1,1,1,1994
52291-90,1,0,0,1994
52369-93,1,1,0,1994
52385-59,0,0,0,1994
52386-40,0,0,0,1994
52744-87,1,0,0,1994
52745-05,1,0,0,1994
52758-10,0,0,1,1994
52765-57,0,0,0,1994
53450-56,0,0,0,1994
53468-29,1,0,1,1994
53991-55,1,1,1,1994
54334-18,0,0,1,1994
54858-79,1,0,1,1994
55763-56,1,1,0,1994
55787-23,1,1,0,1994
56226-79,1,0,0,1994
56255-86,1,0,0,1994
56503-00,1,0,0,1994
57314-80,1,0,1,1994
57405-97,1,0,0,1994
58463-56,1,0,1,1994
58910-86,1,0,0,1994
62013-97,1,1,0,1994
63967-15,0,1,1,1994
83336-23,0,0,1,1994
85493-26,1,1,1,1994
95663-89,1,0,1,1994
98013-52,1,0,1,1994
98783-56,0,1,0,1994
10022-14,0,0,0,1995
10052-20,1,1,1,1995
10068-04,0,0,0,1995
10070-83,0,1,1,1995
10077-85,1,1,0,1995
10133-20,0,0,1,1995
10134-73,1,0,0,1995
10135-81,1,1,0,1995
10139-41,0,1,1,1995
10181-17,0,1,1,1995
10195-75,1,0,0,1995
10241-02,1,0,1,1995
10271-98,0,1,0,1995
10335-25,1,1,1,1995
10367-47,1,0,1,1995
10401-94,0,0,1,1995
10420-66,1,0,1,1995
10446-40,1,0,0,1995
10458-73,1,1,1,1995
10602-46,1,0,0,1995
10639-63,1,0,1,1995
10754-47,1,0,0,1995
107903-44,0,0,1,1995
10985-23,1,0,0,1995
11106-82,0,0,1,1995
11108-89,1,0,0,1995
11110-33,1,1,1,1995
11110-42,1,0,0,1995
11110-69,1,1,1,1995
11111-68,0,0,0,1995
11111-86,0,0,1,1995
11114-11,0,0,0,1995
11115-19,1,0,1,1995
11115-28,1,0,0,1995
11118-79,0,1,0,1995
11120-59,0,0,1,1995
11121-76,1,0,1,1995
11121-85,1,0,0,1995
11122-12,1,0,1,1995
11122-30,1,1,1,1995
11122-48,1,1,1,1995
11123-38,0,1,0,1995
11124-28,1,1,1,1995
11124-46,0,0,0,1995
11126-89,1,0,1,1995
11127-25,1,1,0,1995
11127-79,1,0,1,1995
11127-88,0,0,0,1995
11129-59,1,1,0,1995
11132-20,1,0,1,1995
11132-38,0,0,0,1995
11135-62,1,1,0,1995
11135-71,1,0,1,1995
11136-61,1,1,0,1995
11137-87,1,0,1,1995
11138-68,1,0,1,1995
11139-04,1,0,1,1995
11142-19,1,1,1,1995
11142-73,1,1,1,1995
11145-52,1,0,1,1995
11150-29,1,0,0,1995
11151-91,1,0,1,1995
11153-98,1,0,1,1995
11161-36,1,0,0,1995
11162-08,0,0,0,1995
11166-58,0,1,0,1995
11168-92,1,0,1,1995
11169-91,1,1,1,1995
11170-81,1,1,1,1995
11171-08,0,1,1,1995
11172-43,1,0,1,1995
11173-42,1,0,1,1995
11173-60,0,0,0,1995
11174-14,1,0,0,1995
11177-02,0,0,0,1995
11177-11,0,0,0,1995
11177-20,1,0,1,1995
11179-99,0,0,1,1995
11181-43,1,0,1,1995
11182-96,0,0,0,1995
11184-40,0,0,0,1995
11184-49,1,0,1,1995
11184-67,0,1,0,1995
11186-29,1,0,0,1995
11190-70,1,0,1,1995
11191-96,1,0,1,1995
11192-41,1,0,1,1995
11192-68,0,0,1,1995
11193-13,1,1,1,1995
11194-12,0,0,0,1995
11198-62,1,0,1,1995
11201-59,1,0,0,1995
11201-77,1,0,1,1995
11207-89,1,0,0,1995
11208-79,1,0,1,1995
11211-40,1,1,1,1995
11211-94,0,1,1,1995
11212-21,0,1,0,1995
11213-92,1,0,1,1995
11218-42,1,0,0,1995
11219-23,0,1,1,1995
11220-04,1,0,1,1995
11220-22,1,0,0,1995
11223-37,1,1,1,1995
11224-99,1,0,1,1995
11228-32,1,0,0,1995
11228-50,0,0,1,1995
11228-95,0,0,0,1995
11234-26,1,0,1,1995
11237-14,1,1,0,1995
11237-50,0,1,1,1995
11237-95,1,0,1,1995
11242-18,0,0,1,1995
11242-54,0,1,0,1995
11248-21,0,1,1,1995
11251-27,1,0,1,1995
11251-81,1,0,1,1995
11256-40,1,0,1,1995
11256-76,1,1,0,1995
11258-29,1,0,1,1995
11258-83,0,1,0,1995
11259-64,1,1,0,1995
11261-35,1,1,1,1995
11261-71,0,1,0,1995
11262-52,1,0,1,1995
11262-88,0,0,0,1995
11263-42,0,0,0,1995
11263-51,1,0,1,1995
11265-13,1,0,1,1995
11274-04,1,1,1,1995
11274-85,1,0,1,1995
11275-75,0,1,1,1995
11277-37,1,0,1,1995
11278-45,0,0,0,1995
11279-71,1,1,0,1995
11280-25,1,0,1,1995
11281-06,0,1,0,1995
11281-24,1,1,0,1995
11283-94,1,1,1,1995
11291-32,1,0,1,1995
11292-13,1,1,0,1995
11293-30,1,0,1,1995
11295-73,0,1,1,1995
11295-91,1,1,1,1995
11300-14,1,0,1,1995
11302-84,1,0,1,1995
11303-56,0,0,1,1995
11304-28,0,0,0,1995
11308-51,0,0,1,1995
11308-69,1,1,1,1995
11312-02,0,1,0,1995
11312-29,1,0,1,1995
11317-42,1,0,1,1995
11318-77,0,1,0,1995
11322-28,0,0,1,1995
11324-26,0,1,0,1995
11325-43,0,0,1,1995
11326-33,1,0,1,1995
11326-69,0,0,1,1995
11327-32,1,0,1,1995
11327-41,1,0,1,1995
11328-13,1,1,0,1995
11328-49,0,1,0,1995
11328-58,0,0,0,1995
11330-02,0,1,0,1995
11331-91,1,0,1,1995
11333-26,1,0,1,1995
11335-42,0,1,0,1995
11336-05,1,0,1,1995
11337-76,0,0,1,1995
11338-12,0,1,0,1995
11339-74,1,1,1,1995
11340-01,1,0,1,1995
11605-96,0,0,0,1995
11852-02,1,0,1,1995
11867-23,0,1,0,1995
12075-22,1,0,0,1995
14146-57,1,0,1,1995
16436-44,1,0,0,1995
179240-41,0,0,0,1995
183990-70,1,1,0,1995
228542-59,1,0,1,1995
25121-17,1,0,0,1995
25163-83,1,0,0,1995
25197-58,0,0,1,1995
25383-79,1,1,0,1995
40668-76,0,0,1,1995
40849-84,1,0,1,1995
41001-49,0,1,0,1995
41016-79,0,0,1,1995
41699-53,1,0,1,1995
41762-98,0,0,0,1995
