Investor_Id,hhi,year
11203-21,1,1998
11205-64,0.5555555555555556,1998
11206-54,1,1998
11207-44,1,1998
11207-89,0.28,1998
11208-07,0.5,1998
11208-16,0.5,1998
11208-79,0.25,1998
11210-32,0.25,1998
11211-40,0.10069444444444443,1998
11211-94,1,1998
11213-92,0.3600000000000001,1998
11214-82,0.28,1998
11217-25,0.5555555555555556,1998
11218-78,0.3333333333333333,1998
11219-14,1,1998
11219-23,0.14285714285714285,1998
11219-77,1,1998
11220-04,0.5,1998
11220-22,0.28,1998
11220-31,0.25,1998
11221-93,1,1998
11222-83,1,1998
11223-37,0.5,1998
11224-18,0.3333333333333333,1998
11224-45,0.3333333333333333,1998
11224-99,1,1998
11226-16,1,1998
11227-33,0.5,1998
11228-14,1,1998
11228-32,1,1998
11228-50,0.1056014692378329,1998
11228-95,1,1998
11229-85,1,1998
11230-93,1,1998
11233-72,1,1998
11234-17,0.375,1998
11237-14,1,1998
11237-23,0.5,1998
11237-50,0.6800000000000002,1998
11237-68,0.5,1998
11237-95,0.1124260355029586,1998
11239-12,1,1998
11239-48,1,1998
11240-38,1,1998
11240-47,1,1998
11241-82,1,1998
11241-91,1,1998
11242-18,0.3600000000000001,1998
11242-54,0.3333333333333333,1998
11243-89,0.25,1998
11246-68,1,1998
11247-13,1,1998
11247-85,1,1998
11248-21,0.3055555555555556,1998
11248-93,0.5,1998
11251-45,0.3333333333333333,1998
11251-81,0.11111111111111108,1998
11252-44,1,1998
11252-80,1,1998
11256-40,1,1998
11258-38,0.25,1998
11258-83,0.22448979591836732,1998
11259-28,0.5,1998
11259-64,1,1998
11261-71,0.28,1998
11261-80,1,1998
11261-98,1,1998
11262-52,0.5555555555555556,1998
11262-88,0.18367346938775508,1998
11263-42,0.28,1998
11263-51,1,1998
11265-13,0.16000000000000003,1998
11265-31,1,1998
11265-94,1,1998
11267-47,0.25,1998
11268-55,0.5,1998
11268-82,1,1998
11271-79,1,1998
11272-78,1,1998
11274-04,1,1998
11274-22,0.30864197530864196,1998
11275-75,1,1998
11276-65,0.5,1998
11277-37,0.5,1998
11277-55,1,1998
11278-36,1,1998
11280-70,1,1998
11281-06,0.3333333333333333,1998
11281-24,0.5,1998
11282-32,1,1998
11283-94,0.5,1998
11287-27,1,1998
11288-17,1,1998
11290-51,0.3333333333333333,1998
11290-78,1,1998
11291-32,0.5,1998
11292-85,1,1998
11293-30,1,1998
11293-66,1,1998
11293-84,1,1998
11295-73,0.16799999999999998,1998
11295-82,1,1998
11295-91,0.30864197530864196,1998
11296-45,0.5,1998
11297-98,1,1998
11298-61,1,1998
11300-05,0.5,1998
11300-14,0.3333333333333333,1998
11300-41,1,1998
11300-59,1,1998
11303-11,1,1998
11303-38,1,1998
11303-56,0.625,1998
11303-83,1,1998
11304-28,0.20661157024793386,1998
11306-62,1,1998
11308-51,0.3877551020408163,1998
