Investor_Id,hhi,year,status,first,IT,early,age
11251-81,0.15555555555555556,1997,1.8092716286226558,1,0,1,4
11258-38,0.5,1997,0,0,1,0,0
11258-83,0.3600000000000001,1997,0.21108169000597657,0,1,0,3
11261-71,0.5555555555555556,1997,0,0,0,0,2
11261-80,1,1997,0,1,0,1,0
11262-88,0.28,1997,1.5680354114729684,0,0,1,2
11263-42,0.28,1997,0,0,1,0,3
11263-51,1,1997,0,1,0,1,3
11265-13,0.33333333333333337,1997,0,1,0,1,4
11265-94,1,1997,0,0,1,0,0
11268-82,1,1997,0.42216338001195314,1,0,1,0
11271-79,1,1997,0,0,0,0,0
11272-78,1,1997,0,1,1,1,0
11274-22,0.375,1997,0,0,0,0,1
11277-37,0.5,1997,0,1,0,1,3
11281-06,0.3333333333333333,1997,0,0,1,1,3
11282-32,1,1997,0,1,1,1,0
11287-27,1,1997,0,1,0,1,0
11290-51,0.5,1997,0,0,1,1,0
11293-30,1,1997,0,0,0,0,0
11295-73,0.16553287981859408,1997,0,0,1,1,4
11295-91,0.5,1997,0,0,1,1,3
11298-61,1,1997,0,1,0,1,0
11300-05,0.5,1997,0,0,0,0,1
11300-41,1,1997,0,0,1,1,0
11303-38,1,1997,3.955897029665578,0,0,0,0
11303-56,0.625,1997,0,0,0,1,3
11303-83,1,1997,0,1,0,1,0
11304-28,0.3061224489795918,1997,3.8673181061809276,0,0,0,4
11308-51,0.3877551020408163,1997,0,0,0,1,4
11308-69,0.25,1997,0,1,1,0,1
11312-29,0.5,1997,0,1,0,1,1
11316-79,1,1997,0,0,0,1,1
11317-42,0.625,1997,0,1,0,1,3
11318-77,0.44000000000000006,1997,0,0,1,0,3
11318-86,1,1997,0,1,1,1,0
11320-66,0.3333333333333333,1997,0,0,1,1,1
11322-28,0.5555555555555556,1997,-0,0,0,1,3
11322-91,1,1997,0,1,0,1,0
11326-24,0.5,1997,0,1,1,1,0
11326-33,0.12244897959183673,1997,0,1,0,1,4
11328-13,1,1997,0,0,1,0,0
11328-49,0.5,1997,0,1,1,1,0
11328-67,1,1997,0,1,0,0,0
11328-76,1,1997,0,1,1,1,0
11331-37,1,1997,0,1,1,1,0
11331-91,1,1997,0,1,0,1,0
11335-42,0.25,1997,0,0,1,0,3
11336-77,1,1997,0,1,1,1,0
11337-76,1,1997,0,0,0,1,0
11338-03,0.5,1997,0.21108169000597657,1,0,0,0
11338-12,0.5,1997,0,0,1,0,2
11851-57,0.25,1997,0,0,1,1,1
11867-23,0.25,1997,0,0,0,0,1
12075-22,0.3333333333333333,1997,0,1,0,0,1
123123-88,1,1997,0,1,0,0,0
12604-06,1,1997,0,0,0,0,0
151294-06,1,1997,0,1,1,1,0
25197-58,1,1997,0,0,0,1,2
40849-84,0.625,1997,0,0,0,1,3
40995-55,1,1997,0,1,1,1,0
40998-97,0.5,1997,0,0,0,1,1
41009-95,1,1997,0,1,0,1,0
42202-18,1,1997,0,1,1,0,0
42259-24,1,1997,0,1,1,1,0
42348-97,1,1997,0,1,0,1,0
42349-87,0.5,1997,0,1,0,1,2
42767-02,1,1997,0,NA,NA,NA,0
42767-20,0.5555555555555556,1997,0,0,0,1,2
49310-02,1,1997,0,1,1,1,0
51016-78,1,1997,0,0,0,0,1
51050-17,0.3333333333333333,1997,0,0,1,0,3
51077-44,0.5555555555555556,1997,0,0,0,0,4
51095-26,0.5,1997,0,0,1,1,1
51106-96,1,1997,0,0,0,1,0
51131-71,0.5,1997,0,1,1,0,3
51191-65,1,1997,0,0,1,0,0
51288-22,1,1997,0,0,1,0,0
51490-72,1,1997,0,1,1,1,0
51516-10,1,1997,0,0,0,0,3
51567-58,1,1997,0,0,0,1,0
51721-12,1,1997,0,1,0,1,0
52244-38,1,1997,0,1,1,1,0
52705-81,1,1997,0,1,1,1,0
52765-57,0.5,1997,0,0,1,0,1
53402-68,1,1997,0,1,0,1,2
53455-15,1,1997,0,NA,NA,NA,0
53928-19,1,1997,0,0,0,1,0
54084-97,1,1997,0,1,1,1,0
56142-55,1,1997,0,0,0,0,0
64689-67,0.28,1997,0,0,0,1,2
98783-56,0.5,1997,0,0,1,0,3
10022-14,0.5,1998,0.4433080141052367,1,0,0,0
10052-20,0.28,1998,7.821219963142392,1,1,1,4
10068-04,0.5,1998,0,0,1,0,1
10070-83,0.07200000000000001,1998,10.132754608119697,0,0,1,4
100761-31,1,1998,0,0,0,1,0
10109-26,1,1998,0,0,0,1,0
10133-20,0.375,1998,0,0,0,1,1
10134-73,0.16049382716049382,1998,0,1,1,1,2
10139-41,0.11111111111111108,1998,10.132754608119697,0,1,1,4
10146-16,0.5555555555555556,1998,0,0,1,1,2
10181-17,0.5,1998,0,0,0,0,4
10215-64,1,1998,0,1,0,1,0
10228-51,1,1998,0,1,0,1,0
10241-02,0.3333333333333333,1998,0.22165400705261834,1,0,1,3
10242-91,1,1998,0,1,0,0,0
10271-98,0.15625,1998,0,0,1,0,3
10346-14,1,1998,0,1,0,1,0
10411-93,0.5,1998,0,0,0,0,1
10446-40,0.18367346938775508,1998,0,0,0,0,1
10458-73,1,1998,0,1,1,0,0
10521-46,0.5,1998,0,0,0,1,2
11108-89,0.3333333333333333,1998,0,0,0,1,2
11109-61,0.5,1998,0,0,0,0,1
11111-68,0.32000000000000006,1998,0,0,0,1,3
11112-67,1,1998,0,0,1,0,0
11114-11,0.4375,1998,0,0,0,1,4
11114-38,1,1998,0,0,1,0,0
11114-47,0.5,1998,0,1,0,1,0
11122-48,0.5,1998,0,1,1,1,3
11123-38,1,1998,0,1,1,0,0
11124-19,1,1998,0,0,1,1,0
11124-28,0.5555555555555556,1998,0,1,1,1,4
11126-89,1,1998,0,1,1,1,0
11127-16,1,1998,0,1,0,1,0
11127-79,1,1998,0,0,1,0,0
11127-88,0.52,1998,0,0,1,0,4
11129-23,0.25,1998,0,0,1,1,1
11129-41,1,1998,0,0,1,1,1
11129-59,0.5,1998,0,1,1,0,3
11132-20,0.15976331360946747,1998,0,1,0,1,3
11132-38,0.5555555555555556,1998,0,0,1,0,2
11133-01,0.13580246913580246,1998,0,1,1,1,2
11134-81,0.3333333333333333,1998,0,1,1,1,1
11135-62,0.5,1998,0,1,0,0,3
11135-71,0.42857142857142855,1998,0,0,0,0,3
11142-28,1,1998,0,0,1,0,1
11142-73,0.625,1998,1.7732320564209467,0,1,1,2
11143-54,0.5,1998,0,1,1,1,1
11146-42,1,1998,0,0,0,0,0
11148-67,0.25,1998,0,0,1,0,0
11153-98,0.30612244897959184,1998,0,1,0,1,5
11157-58,1,1998,0,0,1,0,0
11159-83,1,1998,0,1,1,1,0
11162-08,0.59375,1998,0,0,0,1,5
11165-50,0.625,1998,0,0,0,1,2
11165-68,0.5,1998,0,1,0,0,2
11166-58,0.5,1998,0.4433080141052367,0,1,1,3
11168-02,1,1998,0,1,1,0,0
11168-92,0.375,1998,0,0,0,1,3
11169-91,0.625,1998,0,0,1,1,4
11172-43,0.13019390581717452,1998,0,1,1,1,3
11173-42,0.5,1998,0,1,0,1,3
11173-78,0.5,1998,0,0,0,0,1
11174-14,0.5,1998,0,0,0,0,0
11174-77,0.3333333333333333,1998,0,0,1,1,2
11176-39,1,1998,0.22165400705261834,0,1,0,0
11177-11,0.375,1998,0,0,0,1,3
11177-20,0.2222222222222222,1998,0,1,0,1,4
11179-99,0.3333333333333333,1998,0.22165400705261834,0,0,1,5
11184-67,0.42857142857142855,1998,0,0,1,0,4
11186-92,1,1998,0,1,0,0,0
11191-96,0.18343195266272194,1998,0.8866160282104734,0,0,0,5
11192-41,0.5,1998,0,0,0,0,3
11192-68,0.3333333333333333,1998,0,1,0,1,5
11193-13,0.20000000000000004,1998,9.26197100898441,0,1,1,4
11193-76,1,1998,0,0,0,1,0
11194-12,0.3333333333333333,1998,0,0,0,0,4
11197-00,1,1998,0,0,0,0,0
11197-90,1,1998,0,1,0,1,0
11199-79,1,1998,0,0,0,0,0
11201-77,0.5,1998,0,1,0,1,2
11205-64,0.5555555555555556,1998,0.22165400705261834,0,0,1,1
11207-89,0.28,1998,2.0898806379246877,0,0,0,5
11208-16,0.5,1998,0,0,0,1,0
11210-32,0.25,1998,0,0,0,0,2
11211-40,0.10069444444444443,1998,0,1,1,1,5
11211-94,1,1998,0,0,1,1,0
11213-92,0.3600000000000001,1998,0,0,0,1,2
11214-82,0.28,1998,1.678237481969825,0,1,1,1
11217-25,0.5555555555555556,1998,0,0,0,1,2
11218-78,0.3333333333333333,1998,0,1,0,1,0
11219-14,1,1998,0,0,1,0,0
11219-77,1,1998,0.22165400705261834,1,0,1,0
11220-04,0.5,1998,0,1,0,1,1
11220-22,0.28,1998,0,0,0,0,1
11220-31,0.25,1998,0,0,1,0,1
11221-93,1,1998,0,1,1,1,0
11223-37,0.5,1998,0,1,1,1,3
11224-18,0.3333333333333333,1998,0,0,1,0,2
11224-45,0.3333333333333333,1998,0,0,1,0,0
11224-99,1,1998,0,1,0,1,0
11227-33,0.5,1998,0,1,0,0,0
11228-14,1,1998,0,1,1,1,0
11228-50,0.1056014692378329,1998,2.7548426590825428,0,0,1,5
11233-72,1,1998,0,0,1,1,0
11234-17,0.375,1998,0,0,0,1,1
11237-14,1,1998,0,1,1,0,0
11237-23,0.5,1998,0,1,0,1,0
11237-50,0.6800000000000002,1998,0,0,1,1,3
11237-68,0.5,1998,0,0,0,1,1
11237-95,0.1124260355029586,1998,0,1,1,1,5
11240-38,1,1998,0,0,0,0,0
11241-82,1,1998,0,0,0,0,2
11241-91,1,1998,0,0,0,1,0
11242-18,0.3600000000000001,1998,0,0,0,1,1
11242-54,0.3333333333333333,1998,0,0,1,1,0
11243-89,0.25,1998,0,1,1,1,1
11247-85,1,1998,0,0,1,0,0
11248-21,0.3055555555555556,1998,0,0,1,1,3
11248-93,0.5,1998,0,1,0,0,1
11251-81,0.11111111111111108,1998,1.8998914890224436,0,0,1,5
11256-40,1,1998,0.22165400705261834,0,1,1,0
11258-38,0.25,1998,0,1,1,1,1
11258-83,0.22448979591836732,1998,0.22165400705261834,0,1,1,4
11259-28,0.5,1998,0,1,1,1,0
11259-64,1,1998,0,1,0,0,0
11261-71,0.28,1998,0,1,0,1,3
11262-52,0.5555555555555556,1998,0,1,0,1,4
11262-88,0.18367346938775508,1998,1.646572623819451,0,0,1,3
11265-13,0.16000000000000003,1998,0,1,0,1,5
11265-31,1,1998,0.8866160282104734,1,1,0,0
11267-47,0.25,1998,0,0,0,0,2
11268-55,0.5,1998,0.8866160282104734,0,1,0,2
11271-79,1,1998,0,0,1,0,1
11274-04,1,1998,0,1,0,0,0
11274-22,0.30864197530864196,1998,0.8866160282104734,0,1,0,2
11276-65,0.5,1998,0,0,0,1,0
11277-55,1,1998,0,0,0,0,0
11278-36,1,1998,0,0,0,1,0
11281-24,0.5,1998,0,1,1,0,2
11283-94,0.5,1998,0,1,0,1,3
11288-17,1,1998,0,1,0,1,0
11290-51,0.3333333333333333,1998,0,1,1,1,1
11290-78,1,1998,0,0,1,0,0
11291-32,0.5,1998,0,1,1,0,4
11292-85,1,1998,0,1,0,1,0
11293-66,1,1998,0,0,0,0,0
11295-73,0.16799999999999998,1998,0,0,1,1,5
11295-82,1,1998,0,1,0,1,0
11295-91,0.30864197530864196,1998,0,1,1,1,4
11296-45,0.5,1998,0,1,0,0,2
11298-61,1,1998,0,1,0,1,1
11300-05,0.5,1998,0,0,0,0,2
