Investor_Id,hhi,year,status,first,IT,early,age,niche_width,mean_first,mean_early,mean_IT,mean_age,mean_status
52563-79,0.22222222222222227,2015,0,0,0,1,5,0.09446662898059667,0.2,1,0,2.6,0
52565-05,1,2002,0,1,0,1,0,0,1,1,0,0,0
52565-05,0.3333333333333333,2010,0,1,1,1,8,0.2511600199282451,1,1,0.5,4,0
52565-05,0.375,2012,0,0,1,1,10,0.14513353932345452,0.6666666666666666,1,0.6666666666666666,6,0
52567-03,0.3333333333333333,2009,0.035368422382445454,0,0,1,0,0.1444426163303768,0,1,0,0,0.035368422382445454
52567-03,0.16666666666666669,2012,1.235320408338157,0,0,1,3,0.11273864876049566,0,1,0,1.5,0.6353444153603013
52567-03,0.14285714285714285,2014,0.8173214485601568,0,0,1,5,0.09207748417798922,0,1,0,2.6666666666666665,0.6960034264269197
52568-20,1,2001,0,0,0,1,0,0,0,1,0,0,0
52568-20,0.375,2007,0,0,0,1,6,0.16066593870132972,0,1,0,3,0
52568-20,0.28,2008,0,0,0,1,7,0.14609320907837378,0,1,0,4.333333333333333,0
52568-20,0.2222222222222222,2009,0,0,0,1,8,0.1351408001970844,0,1,0,5.25,0
52568-20,0.18367346938775508,2010,0,0,0,1,9,0.12130216725615707,0,1,0,6,0
52568-20,0.15625,2011,0,0,0,1,10,0.10230814743250739,0,1,0,6.666666666666667,0
52568-20,0.16000000000000006,2012,0,0,0,1,11,0.0882740313529915,0,1,0,7.285714285714286,0
52568-20,0.15702479338842976,2013,0,0,0,1,12,0.07001807260426118,0,1,0,7.875,0
52568-20,0.16326530612244897,2015,0,0,0,1,14,0.062285183587179827,0,1,0,8.555555555555555,0
52568-20,0.15625,2017,-0.8644243961831405,0,0,1,16,0.05267971263312654,0,1,0,9.3,-0.08644243961831405
52568-38,1,2002,0,1,1,1,0,0,1,1,1,0,0
52568-38,0.625,2008,0,0,1,1,6,0.07776669990029916,0.5,1,1,3,0
52575-04,1,2001,0,1,0,1,0,0,1,1,0,0,0
52575-04,0.5,2003,0,0,0,1,2,1,0.5,1,0,1,0
52575-04,0.28,2004,0,1,0,1,3,0.4187982276479063,0.6666666666666666,1,0,1.6666666666666667,0
52575-04,0.2222222222222222,2006,0,1,0,1,5,0.3666338049614216,0.75,1,0,2.5,0
52575-04,0.18367346938775508,2008,0,0,0,1,7,0.2926774834424725,0.6,1,0,3.4,0
52575-04,0.16049382716049382,2012,0,0,0,0,11,0.1799519822186908,0.5,0.8333333333333334,0,4.666666666666667,0
